"n","TW","S","h","z","w_fp","z_fp","n_fp","XS_spacing","L","b","A_bf","P_bf","Q_bf","Geometry","Qp","Qd","Geometry2","Run"
0.03,300,1e-04,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,1299.64769730696,"011",2.5,10,"011",91
0.03,300,1e-04,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,1299.64769730696,"011",3.5,10,"011",92
0.03,300,1e-04,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,1299.64769730696,"011",4.5,10,"011",93
0.03,300,1e-04,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,1299.64769730696,"011",2.5,30,"011",94
0.03,300,1e-04,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,1299.64769730696,"011",3.5,30,"011",95
0.03,300,1e-04,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,1299.64769730696,"011",4.5,30,"011",96
0.03,300,1e-04,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,1299.64769730696,"011",2.5,60,"011",97
0.03,300,1e-04,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,1299.64769730696,"011",3.5,60,"011",98
0.03,300,1e-04,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,1299.64769730696,"011",4.5,60,"011",99
0.03,1000,1e-04,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,4708.13966195527,"012",2.5,10,"012",100
0.03,1000,1e-04,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,4708.13966195527,"012",3.5,10,"012",101
0.03,1000,1e-04,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,4708.13966195527,"012",4.5,10,"012",102
0.03,1000,1e-04,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,4708.13966195527,"012",2.5,30,"012",103
0.03,1000,1e-04,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,4708.13966195527,"012",3.5,30,"012",104
0.03,1000,1e-04,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,4708.13966195527,"012",4.5,30,"012",105
0.03,1000,1e-04,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,4708.13966195527,"012",2.5,60,"012",106
0.03,1000,1e-04,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,4708.13966195527,"012",3.5,60,"012",107
0.03,1000,1e-04,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,4708.13966195527,"012",4.5,60,"012",108
